Time,Node1,Node2,Node3,Node4
0.0,200.0,200.0,200.0,200.0
10.0,170.90380069103475,170.90380069103475,170.90380069103475,169.1580287324968
20.0,153.44819757769116,147.09878147098843,146.71781650458627,145.0231573457073
30.0,141.59052636493178,128.9251789791485,127.02437232645235,125.51827194742756
40.0,133.0985142053046,115.10307857917688,111.2850152073313,109.69089836048198
50.0,126.84078479940837,104.53929755098298,98.80705932856502,96.95286020269465
60.0,122.14692932444767,96.41851218641231,88.95919382343538,86.78374692523194
70.0,118.58312770971276,90.14544550949975,81.20895776856955,78.7150618579365
80.0,115.85388610185248,85.28201358399322,75.12096948484287,72.34070008599736
90.0,113.75081346218953,81.50150449478745,70.34482112250843,67.32006078177332
100.0,112.12307016746331,78.55726849176149,66.6011380010944,63.373917917449724
110.0,110.85925558676473,76.26127593498393,63.66852379620851,60.276804843845525
120.0,109.87581534799052,74.46913137790492,61.372236476238776,57.848492850973166
130.0,109.10934607545336,73.06935241885753,59.57473603169283,55.945889155502336
140.0,108.51131847881535,71.97553541657709,58.16796887065923,54.45590734026769
150.0,108.04435351644406,71.12052985247587,57.06715729545871,53.289456329585015
160.0,107.67952970612605,70.4520467602528,56.205845895915786,52.37650099383974
170.0,107.39439697498852,69.92931385201324,55.53197451180911,51.662068680966925
180.0,107.1714886111869,69.52050837598344,55.004777875952634,51.1030545315209
190.0,106.99719306165875,69.200775934853,54.59234483553915,50.66568377742452
200.0,106.86089095439995,68.9506954289678,54.26970057547367,50.32350551508684
210.0,106.7542907125017,68.75508629591776,54.017301807744104,50.055811806946515
220.0,106.6709146682383,68.60207986168874,53.81985710454483,49.84639472866881
230.0,106.60570025871225,68.4823953004227,53.665402722471114,49.68257063150815
240.0,106.55468979878964,68.38877456137612,53.54457891121729,49.55441499392177
250.0,106.51478875455733,68.31554105407106,53.45006339352656,49.454162858615746
